ISO,Country,Count,Average Success Rate,Average Excess Path Length,Population,GDP,Normalized Population,Normalized GDP,GDP per capita,Continent,Count_in_paths,Success_when_used
ARE,united_arab_emirates,126,0.861948650427913,2.3015873015873014,8575205.0,360832739558.385,-0.22512404621618112,-0.061075468328677336,42078.61381254267,Asia,195,0.8358974358974359
CHN,china,118,1.0,5.0,1345035000.0,7551545703518.14,8.769585262333308,4.632502878366657,5614.386022310304,Asia,1437,0.7724425887265136
VNM,vietnam,109,0.9166666666666666,1.0,88349117.0,172595049183.925,0.3117743711775181,-0.18394344428623516,1953.557149687472,Asia,236,0.8050847457627118
JPN,japan,91,0.9375,4.0,127833000.0,6233147172341.35,0.5775107975829071,3.7719474884823803,48760.07894942111,Asia,1386,0.772005772005772
RUS,russia,88,1.0,1.0,142960908.0,2045922753398.04,0.679325409152633,1.0388296510706365,14311.064346331936,Europe,1319,0.7634571645185747
CAN,canada,76,0.9090909090909092,3.0,34339328.0,1793326630174.52,-0.05172504248878956,0.8739531359930233,52223.696112356076,North America,1199,0.7631359466221852
KOR,korea,64,0.381578947368421,0.90625,49936638.0,1253289537500.81,0.05324876216302341,0.5214559055668173,25097.595426844917,Asia,119,0.8403361344537815
TWN,republic_of_china,60,0.785,4.4,,,,,,Asia,166,0.7650602409638554
ITA,italy,58,0.8181818181818182,0.0,59379449.0,2294994296589.5,0.11680124635920792,1.2014055747322685,38649.63948367894,Europe,1198,0.7036727879799666
DEU,germany,55,0.5555555555555556,2.0,80274983.0,3749314991050.59,0.2574334261524746,2.1506811409919173,46705.895796335324,Europe,2182,0.7965169569202566
KAZ,kazakhstan,54,0.5,0.0,16557202.0,192626464617.071,-0.17140320628869637,-0.17086838229976714,11633.99858364179,Asia,133,0.7142857142857143
NGA,niger,50,0.9106666666666666,1.32,165463745.0,414466676831.16,0.8307751408916052,-0.026067105751388767,2504.879101045126,Africa,67,0.8059701492537313
AFG,afghanistan,48,0.9,9.0,29249157.0,17805098367.2952,-0.08598316880661766,-0.28497915035325816,608.7388558683999,Asia,193,0.8186528497409327
BRA,brazil,47,0.8181818181818183,6.0,198185302.0,2616156223977.47,1.0509994188229383,1.411036897207005,13200.556234878963,South America,727,0.7138927097661623
HUN,hungary,47,0.9749999999999999,1.0,9971727.0,141942264554.475,-0.21572510321767951,-0.2039513693590051,14234.471576936974,Europe,147,0.8095238095238095
IRQ,iraq,44,1.0,12.0,32378061.0,185749664444.444,-0.0649248608502921,-0.17535706103671103,5736.898958972373,Asia,323,0.7894736842105263
FRA,france,40,0.8979565772669222,1.5,65345233.0,2865157541994.17,0.1569524675768994,1.5735669829439,43846.466076479825,Europe,2205,0.7201814058956916
AUS,australia,40,0.8,1.0,22340024.0,1398701323029.63,-0.1324833651773633,0.6163702223158115,62609.660716104416,Oceania,1280,0.77421875
PER,peru,40,0.8666666666666668,11.0,29477721.0,171761737046.585,-0.0844448758133748,-0.18448737029516651,5826.832306560775,South America,231,0.7965367965367965
TZA,tanzania,39,0.9333333333333333,6.0,46416031.0,34657140096.4836,0.029554194864315795,-0.27397935401120416,746.6631538677574,Africa,160,0.81875
FIN,finland,38,0.8461538461538461,4.0,5388272.0,275604356167.316,-0.24657290388333117,-0.11670640462291165,51148.9316365833,Europe,209,0.7464114832535885
ZAF,south_africa,38,0.8,4.0,52443325.0,458199494830.834,0.07011939379509581,0.002478520896765501,8737.041269424355,Africa,839,0.7699642431466031
CUB,cuba,38,0.8,10.0,11298710.0,68990000000.0,-0.20679417511416187,-0.25156934145321,6106.006791925804,North America,262,0.7595419847328244
SWE,sweden,37,0.9333333333333332,3.0,9449213.0,574094112972.733,-0.21924175336849638,0.07812616153208238,60755.75955084652,Europe,400,0.7975
CZE,czech_republic,37,0.8461538461538461,0.0,10496088.0,229562733398.948,-0.212196022294044,-0.14675905235832143,21871.26607541286,Europe,116,0.8275862068965517
HKG,hong_kong,37,0.875,0.0,7071600.0,248513617677.287,-0.23524368463738896,-0.1343892831093818,35142.48793445429,Asia,163,0.7607361963190185
PRT,portugal,36,0.9166666666666666,1.0,10557560.0,245117990242.248,-0.21178230033047746,-0.1366057035787322,23217.295496520786,Europe,310,0.7612903225806451
MEX,mexico,36,1.0,6.0,114150481.0,1229013703255.77,0.4854240161667066,0.5056103933719124,10766.609938820757,North America,1211,0.5821635012386458
JOR,jordan,35,0.7647058823529411,0.0,7109980.0,29524149154.9296,-0.234985377620183,-0.2773297999625044,4152.493980985825,Asia,89,0.8539325842696629
JAM,jamaica,35,1.0,0.0,2746169.0,14444661522.1463,-0.2643549191277528,-0.2871726009458323,5259.931752978895,North America,172,0.6627906976744186
ZWE,zimbabwe,35,0.8723404255319149,3.0,13025785.0,14101920300.0,-0.19517052759615844,-0.28739631767418017,1082.6157732528213,Africa,156,0.782051282051282
CHL,chile,34,0.9473684210526315,1.0,17173573.0,251382574083.741,-0.1672548750093256,-0.1325166354686769,14637.756166625373,South America,160,0.73125
