Country,Count,Average Success Rate,Average Excess Path Length
China,118,1.0,5
Vietnam,109,0.9166666666666666,1
Japan,91,0.9375,4
Russia,88,1.0,1
Canada,76,0.9090909090909091,3
United_Arab_Emirates,64,0.8571428571428571,2
Italy,58,0.8181818181818182,0
Germany,55,0.5555555555555556,2
Kazakhstan,54,0.5,0
Dubai,50,0.8709677419354839,3
Afghanistan,48,0.9,9
Brazil,47,0.8181818181818182,6
Hungary,47,0.975,1
Iraq,44,1.0,12
Republic_of_China,42,0.75,5
Australia,40,0.8,1
Peru,40,0.8666666666666667,11
Tanzania,39,0.9333333333333333,6
South_Africa,38,0.8,4
Cuba,38,0.8,10
Finland,38,0.8461538461538461,4
Sweden,37,0.9333333333333333,3
Czech_Republic,37,0.8461538461538461,0
Hong_Kong,37,0.875,0
Portugal,36,0.9166666666666666,1
Mexico,36,1.0,6
Jamaica,35,1.0,0
Zimbabwe,35,0.8723404255319149,3
Korea,35,0.0,0
Jordan,35,0.7647058823529411,0
Niger,34,0.9,1
Chile,34,0.9473684210526315,1
Venezuela,34,0.9285714285714286,4
Dominican_Republic,34,0.8181818181818182,0
Greece,32,1.0,2
Greenland,32,0.8636363636363636,2
Argentina,31,0.8571428571428571,13
Poland,31,0.9868421052631579,1
India,31,0.75,3
Maldives,30,0.9090909090909091,3
Indonesia,30,1.0,1
North_Korea,30,0.9375,23
Austria,30,0.9117647058823529,6
Ireland,30,0.9661016949152542,2
Denmark,30,0.4,3
Israel,30,0.4166666666666667,3
United_States,29,0.9473684210526315,1
Croatia,29,1.0,3
South_Korea,29,0.8421052631578947,2
France,28,0.896551724137931,2
United_Kingdom,28,0.9473684210526315,1
Paraguay,28,0.85,5
Egypt,28,0.972972972972973,3
Ecuador,27,1.0,4
Thailand,27,0.8,1
Iran,26,0.6666666666666666,2
Nepal,26,0.9411764705882353,14
Panama,26,0.96,19
Pakistan,25,0.6666666666666666,4
Vatican_City,25,0.875,3
Iceland,25,0.8888888888888888,1
Ukraine,24,0.9642857142857143,3
Ethiopia,24,0.9285714285714286,0
Norway,24,1.0,2
Sierra_Leone,24,0.9166666666666666,1
Madagascar,23,1.0,1
Libya,23,0.9583333333333334,5
