Country,Political Power
USA,100
JAPAN,99
SINGAPORE,88
ZEALAND,78
AUSTRALIA,76
CHINA,69
INDIA,67
TAIWAN,57
RUSSIA,55
INDONESIA,53
KOREA,53
VIETNAM,48
THAILAND,31
BANGLADESH,26
KOREA,22
MALAYSIA,15
PAKISTAN,11
CAMBODIA,8
PHILIPPINES,7
MONGOLIA,7
BRUNEI,5
