Country,Nb of Movies,Average Production Budget,Total Worldwide Box Office
United States,"24,285","$37,951,085","$630,137,804,871"
United Kingdom,"4,443","$30,194,730","$55,413,095,541"
China,"2,823","$36,834,138","$48,612,425,583"
France,"4,247","$22,092,334","$21,084,801,537"
Japan,"1,987","$31,739,412","$18,341,621,519"
Germany,"2,036","$30,053,772","$10,920,818,196"
Republic of Korea,"1,897","$16,756,481","$9,624,020,221"
Canada,"1,923","$20,478,697","$8,693,129,814"
Australia,"1,054","$31,237,673","$8,263,826,785"
India,"2,556","$14,919,521","$8,159,225,686"
New Zealand,289,"$59,255,333","$7,413,324,717"
Hong Kong,476,"$24,077,778","$7,331,854,169"
Italy,"1,963","$16,524,375","$4,605,985,605"
Spain,"1,858","$23,101,937","$4,396,108,136"
Russian Federation,"1,327","$12,590,889","$2,752,846,548"
Belgium,664,"$16,113,575","$2,382,813,921"
Mexico,614,"$12,148,485","$2,138,315,835"
Sweden,336,"$15,142,857","$1,464,148,662"
Netherlands,571,"$18,963,043","$1,405,503,737"
Ireland,370,"$17,753,500","$1,351,230,618"
Brazil,585,"$14,559,868","$1,119,629,321"
Turkey,"1,238","$10,733,333","$1,057,824,886"
"Taiwan, Province of China",178,"$13,685,714","$952,034,056"
Denmark,325,"$11,924,181","$857,539,452"
Finland,178,"$13,414,875","$754,510,908"
Czech Republic,407,"$31,883,333","$735,940,548"
Switzerland,286,"$21,182,727","$700,130,890"
Argentina,918,"$11,075,000","$641,528,753"
South Africa,179,"$18,395,526","$608,897,139"
Poland,358,"$5,228,400","$603,400,504"
Hungary,141,"$34,924,417","$570,191,905"
United Arab Emirates,49,"$24,957,500","$539,368,692"
Malta,16,"$66,666,667","$520,548,489"
Austria,207,"$11,041,667","$323,077,537"
Panama,12,"$36,000,000","$305,439,992"
Colombia,92,"$5,125,000","$280,498,148"
Luxembourg,120,"$19,141,667","$280,252,566"
Norway,229,"$5,539,286","$278,876,149"
Tunisia,27,"$35,000,000","$249,467,149"
Romania,215,"$11,443,667","$231,717,679"
Thailand,144,"$7,387,500","$231,317,270"
Morocco,39,"$36,225,000","$229,667,524"
Chile,126,"$9,100,000","$198,253,945"
Slovakia,168,"$36,000,000","$180,775,823"
Uruguay,55,"$135,000,000","$169,199,328"
Paraguay,17,"$135,000,000","$165,740,252"
Iceland,79,"$17,850,000","$145,412,918"
Philippines,171,$0,"$128,111,926"
Israel,230,"$2,500,000","$127,938,263"
Ukraine,85,"$26,000,000","$106,269,344"
Peru,44,"$1,200,000","$96,900,282"
Kuwait,7,"$80,000,000","$96,775,326"
Lebanon,47,"$4,625,000","$87,356,997"
Islamic Republic of Iran,105,"$3,484,286","$85,851,326"
Greece,100,"$2,607,667","$84,250,504"
Cuba,45,$0,"$67,634,816"
Portugal,364,"$800,000","$65,180,014"
Bolivarian Republic of Venezuela,28,"$1,400,000","$56,326,599"
Bahamas,8,"$31,500,000","$56,207,252"
Latvia,49,"$9,500,000","$53,699,230"
Malaysia,43,"$25,000,000","$53,695,818"
Algeria,17,"$10,100,000","$47,510,533"
Greenland,5,"$21,000,000","$46,084,208"
The Former Yugoslav Republic of Macedonia,36,"$5,000,000","$45,348,525"
Bulgaria,122,"$10,750,000","$43,927,131"
Botswana,4,$0,"$43,923,227"
Singapore,38,$0,"$43,494,364"
Croatia,69,"$40,000,000","$37,858,343"
Namibia,4,"$75,000,000","$34,034,218"
Estonia,45,"$1,250,000","$33,270,073"
German Democratic Republic,15,"$5,000,000","$29,557,566"
Kazakhstan,34,"$29,000,000","$28,819,388"
Lithuania,125,"$500,000","$27,360,005"
Cayman Islands,3,"$9,000,000","$19,894,696"
Costa Rica,10,"$20,000,000","$19,513,972"
Serbia,61,$0,"$18,872,795"
Indonesia,74,"$950,000","$18,434,789"
Saudi Arabia,21,"$85,000,000","$18,043,536"
Pakistan,68,"$1,100,000","$16,395,577"
Qatar,67,"$5,428,333","$15,418,276"
Bosnia and Herzegovina,30,"$20,500,000","$14,943,578"
Mongolia,19,"$30,000,000","$14,692,708"
Occupied Palestinian Territory,30,$0,"$12,810,895"
Dominican Republic,34,"$362,500","$11,545,683"
Slovenia,53,"$1,653,333","$10,955,989"
Egypt,66,"$2,625,000","$10,896,020"
Viet Nam,45,"$1,000,000","$8,913,136"
Cyprus,17,"$3,650,000","$7,865,740"
Montenegro,5,$0,"$7,825,967"
Belarus,15,$0,"$7,299,428"
Mauritania,2,"$2,500,000","$6,817,760"
Senegal,20,$0,"$6,642,683"
Democratic People's Republic of Korea,12,$0,"$6,507,674"
Monaco,7,"$28,000,000","$6,056,333"
Armenia,16,$0,"$5,233,261"
Bermuda,3,$0,"$5,200,000"
Afghanistan,21,"$500,000","$5,067,922"
Puerto Rico,21,"$1,000,000","$4,652,889"
Georgia,33,"$12,000,000","$4,368,627"
Kenya,19,"$15,000","$4,118,104"
USSR,7,"$25,000,000","$3,085,887"
Cameroon,9,$0,"$3,074,051"
Republic of Kosovo,12,$0,"$3,014,936"
Yemen,5,$0,"$2,466,867"
Cambodia,24,"$3,000,000","$2,447,747"
Isle of Man,3,$0,"$2,393,476"
Papua New Guinea,3,$0,"$2,287,136"
Northern Ireland,4,$0,"$1,979,596"
Nepal,31,$0,"$1,893,678"
