Country,Percentage
United_States, 100
China,91.5
JAPAN,65.8
INDIA,61.9
KOREA,60.4
INDONESIA,59.0
RUSSIA,55.2
VIETNAM,52.9
SINGAPORE,48.3
THAILAND,43.8
MALAYSIA,37.7
PHILIPPINES,32.7
BRUNEI,32.5
CAMBODIA,30.1
BANGLADESH,29.3
PAKISTAN,27.3
LAOS,24.6
MYANMAR,21.1
LANKA,19.4
TAIWAN,17.6
